a,b,hypotenuse
3,4,5.0
5,12,13.0
6,8,10.0
7,24,25.0
8,15,17.0
9,12,15.0
9,40,41.0
10,24,26.0
11,60,61.0
12,16,20.0
12,35,37.0
13,84,85.0
14,48,50.0
15,20,25.0
15,36,39.0
16,30,34.0
16,63,65.0
18,24,30.0
18,80,82.0
20,21,29.0
20,48,52.0
20,99,101.0
21,28,35.0
21,72,75.0
24,32,40.0
24,45,51.0
24,70,74.0
25,60,65.0
27,36,45.0
28,45,53.0
28,96,100.0
30,40,50.0
30,72,78.0
32,60,68.0
33,44,55.0
33,56,65.0
35,84,91.0
36,48,60.0
36,77,85.0
39,52,65.0
39,80,89.0
40,42,58.0
40,75,85.0
40,96,104.0
42,56,70.0
45,60,75.0
48,55,73.0
48,64,80.0
48,90,102.0
51,68,85.0
54,72,90.0
56,90,106.0
57,76,95.0
60,63,87.0
60,80,100.0
60,91,109.0
63,84,105.0
65,72,97.0
66,88,110.0
69,92,115.0
72,96,120.0
75,100,125.0
80,84,116.0
