year,berkeley heights,beijing,london,mountain view
1970,3.85,0,0,16.97
1971,9.04,0,0,19.09
1972,0.28,0,0,12.87
1973,19.72,4.14,7.78,14.98
1974,3.56,2.04,8.89,13.97
1975,6.84,0.74,12.78,17.87
1976,6.06,-4.92,5,15.92
1977,2.88,0.69,7.48,17.37
1978,17.53,1.55,12.78,14.38
1979,6.66,-1.77,5.99,19.52
1980,10.29,-0.37,7.75,17.34
1981,6.78,-0.47,7.22,18.02
1982,5.56,5.74,5.58,15.45
1983,3.99,0.24,4.12,14.22
1984,6.71,2.12,9.94,14.43
1985,8.57,-0.02,1.99,12.26
1986,3.72,2.6,12.04,23.52
1987,5.09,1.39,7.46,18.37
1988,7.21,9.41,11.63,17.17
1989,11.3,3.38,11.68,20.13
1990,7.63,2.4,11.91,21.52
1991,6.04,1.91,5.99,23.59
1992,3.55,0.46,5.56,18.18
1993,4.28,8.17,6.89,15.23
1994,8.32,5.41,11.48,13.33
1995,7.82,9.83,9.95,20.39
1996,5.72,7.66,8.09,20.04
1997,8.96,7.37,8.14,17.15
1998,9.97,4.33,11.47,12.96
1999,19.85,8.73,8.84,18.89
2000,12.7,-0.34,6.94,12.64
2001,6.14,2.37,2.08,22.64
2002,12.53,-1.49,13.28,17.71
2003,0.59,-1.11,7.31,18.42
2004,5.41,5.41,10.41,15.44
2005,9.82,7.72,12.34,16.79
2006,14.1,6.81,9.03,17.66
2007,4.51,6.5,10.75,14.86
2008,16.76,7.8,10.01,21.24
2009,6.14,4.58,8.43,17.14
2010,6.91,11.19,6.37,14.84
2011,10.52,7.68,10.47,15.91
2012,3.55,3.59,3.78,26.17
2013,10.02,6.42,9.97,21.02
2014,9.77,6.66,4.29,23.13
2015,18.62,0.68,14.44,18.16
